feature,target,decile,months,avg_n_obs,ew_mean_return,ew_median_return
mktcap_proxy,fwd_ret_1m,4,297,419.25589225589226,0.009191047341014011,0.0005557474747474748
mktcap_proxy,fwd_ret_1m,5,297,419.1077441077441,0.007850400912085317,0.001480794612794612
mktcap_proxy,fwd_ret_1m,6,297,419.04713804713805,0.008804757246209919,0.003287858585858586
mktcap_proxy,fwd_ret_1m,7,297,418.93602693602696,0.008809009493975081,0.005334348484848485
mktcap_proxy,fwd_ret_1m,8,297,418.83838383838383,0.007988138986087068,0.006013015151515152
mktcap_proxy,fwd_ret_1m,9,297,418.75084175084174,0.008538492474465214,0.00772010606060606
mktcap_proxy,fwd_ret_1m,10,297,418.63299663299665,0.007686257337452115,0.0074952676767676765
mktcap_proxy,fwd_ret_3m,1,295,413.8542372881356,0.04654327576050865,-0.027823711573651586
mktcap_proxy,fwd_ret_3m,2,295,413.7322033898305,0.027211695302938536,-0.009778785570230084
mktcap_proxy,fwd_ret_3m,3,295,413.6474576271186,0.027995736091873606,0.0019573428069160383
mktcap_proxy,fwd_ret_3m,4,295,413.53898305084743,0.027691908051908423,0.007700893617449826
mktcap_proxy,fwd_ret_3m,5,295,413.43389830508477,0.025138606135548996,0.008210988352035922
mktcap_proxy,fwd_ret_3m,6,295,413.3152542372881,0.026276940019750967,0.012934973842989231
mktcap_proxy,fwd_ret_3m,7,295,413.2271186440678,0.02675154147261102,0.01745066062736217
mktcap_proxy,fwd_ret_3m,8,295,413.1050847457627,0.02466963768057086,0.019585183295795897
mktcap_proxy,fwd_ret_3m,9,295,413.01355932203387,0.027186149407620538,0.024511772429620188
mktcap_proxy,fwd_ret_3m,10,295,412.92542372881354,0.02393538380958301,0.022500732123259225
network_degree,fwd_ret_1m,1,297,419.5723905723906,0.00566210769970059,-0.007042031986531986
network_degree,fwd_ret_1m,2,297,419.4781144781145,0.008658611694542797,-0.007098518518518519
network_degree,fwd_ret_1m,3,297,419.3703703703704,0.009191518053685663,-0.003911345117845118
network_degree,fwd_ret_1m,4,297,419.2828282828283,0.009724967194401647,-0.0018485016835016834
network_degree,fwd_ret_1m,5,297,419.15488215488216,0.009847521305178516,0.0008531548821548823
network_degree,fwd_ret_1m,6,297,419.0740740740741,0.010552540829063917,0.002336809764309764
network_degree,fwd_ret_1m,7,297,418.969696969697,0.009519217005499387,0.003948047138047138
network_degree,fwd_ret_1m,8,297,418.8787878787879,0.009546081639093042,0.004819451178451178
network_degree,fwd_ret_1m,9,297,418.7946127946128,0.010698385303823532,0.007723153198653198
network_degree,fwd_ret_1m,10,297,418.67003367003366,0.010351292950672126,0.008592111111111111
network_degree,fwd_ret_3m,1,295,413.87118644067795,0.014402947369645699,-0.011731274187473313
network_degree,fwd_ret_3m,2,295,413.76271186440675,0.026374305966369777,-0.00855310836102645
network_degree,fwd_ret_3m,3,295,413.6813559322034,0.027932201365135502,-0.002295931316215084
network_degree,fwd_ret_3m,4,295,413.56610169491523,0.029874114801743904,0.002179152737012329
network_degree,fwd_ret_3m,5,295,413.47457627118644,0.030886856849356426,0.00911222341776397
network_degree,fwd_ret_3m,6,295,413.3491525423729,0.031439497451621744,0.011782661699983666
network_degree,fwd_ret_3m,7,295,413.2610169491525,0.02889785179763828,0.013849888383343572
network_degree,fwd_ret_3m,8,295,413.1457627118644,0.02933026593177801,0.017174640500435056
network_degree,fwd_ret_3m,9,295,413.0372881355932,0.032460093778532796,0.02399898315173195
network_degree,fwd_ret_3m,10,295,412.9627118644068,0.03176220244550361,0.025706069330493967
network_peer_sell_pressure,fwd_ret_1m,1,297,419.5723905723906,0.01087593800968458,0.0028931515151515153
network_peer_sell_pressure,fwd_ret_1m,2,297,419.4781144781145,0.010043045235478453,0.0044197222222222225
network_peer_sell_pressure,fwd_ret_1m,3,297,419.3703703703704,0.00992095873657223,0.004253279461279461
network_peer_sell_pressure,fwd_ret_1m,4,297,419.2828282828283,0.009489403938396354,0.0036547373737373743
network_peer_sell_pressure,fwd_ret_1m,5,297,419.15488215488216,0.010632857187577288,0.0031046195286195287
network_peer_sell_pressure,fwd_ret_1m,6,297,419.0740740740741,0.010430093102615667,0.0029674562289562292
network_peer_sell_pressure,fwd_ret_1m,7,297,418.969696969697,0.009391184100116013,0.0012387777777777779
network_peer_sell_pressure,fwd_ret_1m,8,297,418.8787878787879,0.007714842802365243,-0.001997959595959596
network_peer_sell_pressure,fwd_ret_1m,9,297,418.7946127946128,0.008514164781163937,-0.004645422558922559
network_peer_sell_pressure,fwd_ret_1m,10,297,418.67003367003366,0.006720741867330388,-0.008497006734006734
network_peer_sell_pressure,fwd_ret_3m,1,295,413.87118644067795,0.03201391553639719,0.014912296176828281
network_peer_sell_pressure,fwd_ret_3m,2,295,413.76271186440675,0.030098753089389772,0.01788265560881635
network_peer_sell_pressure,fwd_ret_3m,3,295,413.6813559322034,0.0301107329159046,0.017595243706450877
network_peer_sell_pressure,fwd_ret_3m,4,295,413.56610169491523,0.029131057738633673,0.015575116959075116
network_peer_sell_pressure,fwd_ret_3m,5,295,413.47457627118644,0.030403658092913427,0.01459018461449874
network_peer_sell_pressure,fwd_ret_3m,6,295,413.3491525423729,0.029928891051646225,0.011978698056905754
network_peer_sell_pressure,fwd_ret_3m,7,295,413.2610169491525,0.02869333191067843,0.007303444773748049
network_peer_sell_pressure,fwd_ret_3m,8,295,413.1457627118644,0.025539307377999098,5.883835532697259e-05
