model,target,test_year,feature,importance
lgbm_network_pressure,fwd_ret_1m,2015,z_network_weighted_degree_x_network_peer_sell_pressure,1.0
ridge_all,fwd_ret_1m,2016,z_owner_count,0.00015567058289889246
ridge_all,fwd_ret_1m,2016,z_owner_hhi,0.0007286035688593984
ridge_all,fwd_ret_1m,2016,z_top_owner_share,0.0004534908221103251
ridge_all,fwd_ret_1m,2016,z_fragility_proxy,0.002243625931441784
ridge_all,fwd_ret_1m,2016,z_avg_manager_breadth,0.0027368031442165375
ridge_all,fwd_ret_1m,2016,z_stock_sell_pressure,0.03557194769382477
ridge_all,fwd_ret_1m,2016,z_network_degree,0.003489807480946183
ridge_all,fwd_ret_1m,2016,z_network_weighted_degree,0.0024049929343163967
ridge_all,fwd_ret_1m,2016,z_network_peer_sell_pressure,0.003997568041086197
ridge_all,fwd_ret_1m,2016,z_mktcap_proxy,0.0016597838839516044
ridge_all,fwd_ret_1m,2016,z_vol,0.00762203149497509
ridge_all,fwd_ret_1m,2016,z_fragility_proxy_x_stock_sell_pressure,0.004757761023938656
ridge_all,fwd_ret_1m,2016,z_fragility_proxy_x_network_peer_sell_pressure,0.00031843670876696706
ridge_all,fwd_ret_1m,2016,z_owner_hhi_x_stock_sell_pressure,0.0005594169488176703
ridge_all,fwd_ret_1m,2016,z_network_weighted_degree_x_network_peer_sell_pressure,8.953407814260572e-05
lgbm_all,fwd_ret_1m,2016,z_owner_count,38.0
lgbm_all,fwd_ret_1m,2016,z_owner_hhi,12.0
lgbm_all,fwd_ret_1m,2016,z_top_owner_share,22.0
lgbm_all,fwd_ret_1m,2016,z_fragility_proxy,27.0
lgbm_all,fwd_ret_1m,2016,z_avg_manager_breadth,17.0
lgbm_all,fwd_ret_1m,2016,z_stock_sell_pressure,213.0
lgbm_all,fwd_ret_1m,2016,z_network_degree,44.0
lgbm_all,fwd_ret_1m,2016,z_network_weighted_degree,103.0
lgbm_all,fwd_ret_1m,2016,z_network_peer_sell_pressure,47.0
lgbm_all,fwd_ret_1m,2016,z_mktcap_proxy,121.0
lgbm_all,fwd_ret_1m,2016,z_vol,107.0
lgbm_all,fwd_ret_1m,2016,z_fragility_proxy_x_stock_sell_pressure,17.0
lgbm_all,fwd_ret_1m,2016,z_fragility_proxy_x_network_peer_sell_pressure,11.0
lgbm_all,fwd_ret_1m,2016,z_owner_hhi_x_stock_sell_pressure,29.0
lgbm_all,fwd_ret_1m,2016,z_network_weighted_degree_x_network_peer_sell_pressure,2.0
lgbm_no_network,fwd_ret_1m,2016,z_owner_count,225.0
lgbm_no_network,fwd_ret_1m,2016,z_owner_hhi,141.0
lgbm_no_network,fwd_ret_1m,2016,z_top_owner_share,79.0
