spec,target,variable,months,mean_coef,nw_se,nw_t,coef_std,positive_month_share
full_core_with_controls,fwd_ret_1m,network_weighted_degree,296,0.0016295119807650468,0.0008029569161962896,2.029389059234031,0.013412165099699135,0.5878378378378378
full_core_with_controls,fwd_ret_1m,owner_count,296,-0.002948752210784511,0.0012296618268227296,-2.3980188263659983,0.020041856687351648,0.40202702702702703
full_core_with_controls,fwd_ret_1m,owner_hhi,296,-0.0063064191346835245,0.0019431958819595924,-3.245385189023709,0.034345485455835496,0.40878378378378377
full_core_with_controls,fwd_ret_1m,stock_sell_pressure,296,0.0019632882263950864,0.0008930709130665029,2.198356477263177,0.018606801757550577,0.5202702702702703
full_core_with_controls,fwd_ret_1m,top_owner_share,296,0.0021586682643134096,0.0017779727134140174,1.2141177690901626,0.03128551760775522,0.5067567567567568
full_core_with_controls,fwd_ret_1m,vol,296,-0.002548475778723837,0.0009676238022345608,-2.633746475477939,0.016061565899016673,0.41216216216216217
interaction_mechanism,fwd_ret_1m,fragility_proxy,296,-0.0012184101868048022,0.0005959012784124921,-2.044651070477147,0.010096018268187585,0.4222972972972973
interaction_mechanism,fwd_ret_1m,fragility_proxy_x_network_peer_sell_pressure,296,-0.0006318891645060918,0.0002958892695009916,-2.1355595813655355,0.004916307302733948,0.47297297297297297
interaction_mechanism,fwd_ret_1m,fragility_proxy_x_stock_sell_pressure,296,0.0002349355978835769,0.0004070169856602171,0.5772132519297465,0.006634760044380732,0.48986486486486486
interaction_mechanism,fwd_ret_1m,intercept,296,0.007022291215504163,0.003801541356201873,1.847222102173879,0.06103165650995495,0.5878378378378378
interaction_mechanism,fwd_ret_1m,mktcap_proxy,296,0.0022681261505358248,0.0012005126069167121,1.8892980693981003,0.018311991392975173,0.5777027027027027
interaction_mechanism,fwd_ret_1m,network_peer_sell_pressure,296,-0.0015449569452458797,0.0007021085018145377,-2.2004532650624147,0.011406580122984844,0.46283783783783783
interaction_mechanism,fwd_ret_1m,network_weighted_degree_x_network_peer_sell_pressure,296,0.0011131500248020459,0.0007421391142873634,1.4999209762322587,0.011056622349547534,0.5945945945945946
interaction_mechanism,fwd_ret_1m,owner_hhi_x_stock_sell_pressure,296,-0.001425555360342155,0.0004907244129952341,-2.9050019167397725,0.00781990632247772,0.40202702702702703
interaction_mechanism,fwd_ret_1m,stock_sell_pressure,296,0.001582914659988594,0.001040699891426963,1.5210097291527238,0.020738456716990577,0.49324324324324326
interaction_mechanism,fwd_ret_1m,vol,296,-0.0019279702473333417,0.0008426555199266626,-2.2879696409051418,0.015069713708005545,0.4155405405405405
univariate__owner_count,fwd_ret_3m,intercept,295,0.022593454669548933,0.011405526057304586,1.9809217528444574,0.11509345161157829,0.6
univariate__owner_count,fwd_ret_3m,owner_count,295,0.002854918448219744,0.0022356156907881396,1.2770166446690472,0.020985693982174283,0.6237288135593221
univariate__owner_hhi,fwd_ret_3m,intercept,295,0.017068007383573423,0.012120255002210721,1.4082218056022944,0.11903610173106428,0.5389830508474577
univariate__owner_hhi,fwd_ret_3m,owner_hhi,295,-0.018249349172341466,0.00469610235545884,-3.88606290728056,0.04206621817335454,0.2745762711864407
univariate__top_owner_share,fwd_ret_3m,intercept,295,0.018342064080432804,0.012042857995640338,1.5230657114011354,0.1188241020529707,0.5491525423728814
univariate__top_owner_share,fwd_ret_3m,top_owner_share,295,-0.015176440059114312,0.004273740887944953,-3.5510903578461845,0.03872610604677586,0.27796610169491526
univariate__fragility_proxy,fwd_ret_3m,fragility_proxy,295,-0.003494466405103863,0.0015302136489088616,-2.2836460827516714,0.017366601768479314,0.4101694915254237
univariate__fragility_proxy,fwd_ret_3m,intercept,295,0.022430076616429498,0.011258582492617821,1.9922647128212412,0.11389934325573893,0.5932203389830508
univariate__avg_manager_breadth,fwd_ret_3m,avg_manager_breadth,295,-0.006929930436254595,0.0026830794837296524,-2.582827112755358,0.024631687806309414,0.3288135593220339
univariate__avg_manager_breadth,fwd_ret_3m,intercept,295,0.024154548721557256,0.010864340196465252,2.2232872208305863,0.11096328638717474,0.6067796610169491
univariate__stock_sell_pressure,fwd_ret_3m,intercept,294,0.023121579253480556,0.01105544647188304,2.0914197642116874,0.111595051865034,0.608843537414966
univariate__stock_sell_pressure,fwd_ret_3m,stock_sell_pressure,294,-0.003023362721459147,0.0028312243782131503,-1.0678640466381049,0.03160712632849415,0.41156462585034015
univariate__network_degree,fwd_ret_3m,intercept,295,0.015088764425618314,0.012152887255443145,1.2415785737549916,0.11871016033053562,0.5423728813559322
univariate__network_degree,fwd_ret_3m,network_degree,295,0.020592348499351806,0.0044272968670730295,4.651223786799235,0.043489386101083397,0.7661016949152543
univariate__network_weighted_degree,fwd_ret_3m,intercept,295,0.022828136894541353,0.011287119680056431,2.022494448683583,0.11419754971666189,0.6033898305084746
univariate__network_weighted_degree,fwd_ret_3m,network_weighted_degree,295,0.0009238359623967584,0.001714422803203317,0.5388612194556763,0.016235439740972774,0.5932203389830508
univariate__network_peer_sell_pressure,fwd_ret_3m,intercept,294,0.023182777979077928,0.011154228955109235,2.078384626349181,0.11276556777454384,0.6054421768707483
univariate__network_peer_sell_pressure,fwd_ret_3m,network_peer_sell_pressure,294,-0.004724277861448055,0.002260253773778004,-2.0901537324065367,0.024799625276199947,0.3979591836734694
direct_ownership_core,fwd_ret_3m,avg_manager_breadth,294,-0.006437776317745771,0.0016923796807931629,-3.8039787352732786,0.017931110379425897,0.35034013605442177
direct_ownership_core,fwd_ret_3m,fragility_proxy,294,-0.002990096451640976,0.0019233200401443616,-1.554653614182975,0.019527646459705464,0.42857142857142855
direct_ownership_core,fwd_ret_3m,intercept,294,0.01888701474762602,0.011328291859853621,1.6672429507717565,0.11204992025083535,0.5714285714285714
direct_ownership_core,fwd_ret_3m,mktcap_proxy,294,0.0004668029852978923,0.0016942983482615302,0.2755140414183046,0.019626926337270034,0.5544217687074829
direct_ownership_core,fwd_ret_3m,owner_count,294,0.0002596276134919809,0.0029235373368410875,0.08880598520849105,0.029475623985603005,0.47959183673469385
direct_ownership_core,fwd_ret_3m,owner_hhi,294,-0.025824099884713472,0.0056921883428391095,-4.536761317323719,0.06173522656025628,0.30272108843537415
direct_ownership_core,fwd_ret_3m,stock_sell_pressure,294,-0.001075690493379414,0.0023265150686359766,-0.46236128356997297,0.0275982801140688,0.42517006802721086
direct_ownership_core,fwd_ret_3m,top_owner_share,294,0.010961604854865706,0.005258537672204145,2.084534815221945,0.058098366329497296,0.6122448979591837
direct_ownership_core,fwd_ret_3m,vol,294,-0.006184383198079107,0.002911689526758338,-2.123984422530223,0.028868560573637663,0.336734693877551
network_core,fwd_ret_3m,intercept,294,0.01508094722040271,0.01193308899380034,1.2637924034789143,0.11645807384258787,0.5476190476190477
network_core,fwd_ret_3m,mktcap_proxy,294,-0.002164400885073926,0.002150465391097255,-1.0064802223901685,0.022127457110782595,0.4421768707482993
network_core,fwd_ret_3m,network_degree,294,0.021093081820697204,0.0038161747043320726,5.527284114312851,0.04071519886358974,0.7551020408163265
network_core,fwd_ret_3m,network_peer_sell_pressure,294,-0.004163696206999521,0.0020672678488544123,-2.014105820543214,0.02237822863761258,0.41156462585034015
network_core,fwd_ret_3m,network_weighted_degree,294,0.0039000475054755926,0.0028182354603677913,1.3838614836556702,0.027349503220067656,0.5680272108843537
network_core,fwd_ret_3m,vol,294,-0.005374755863140533,0.0026196338583669874,-2.051720260819586,0.026985529875819855,0.35714285714285715
sell_pressure_mechanism,fwd_ret_3m,fragility_proxy,294,-0.0029841157789194574,0.0016709756484031642,-1.7858523442703491,0.018358725881238342,0.41496598639455784
sell_pressure_mechanism,fwd_ret_3m,intercept,294,0.02264054687947172,0.011155933248888895,2.0294623833220466,0.11234457607253975,0.6020408163265306
sell_pressure_mechanism,fwd_ret_3m,mktcap_proxy,294,0.002881868820497168,0.002538672781742024,1.1351871896304986,0.02545515513606823,0.6360544217687075
sell_pressure_mechanism,fwd_ret_3m,network_peer_sell_pressure,294,-0.003822116434065916,0.0017902685786817852,-2.1349402428099507,0.019896044399366878,0.41836734693877553
sell_pressure_mechanism,fwd_ret_3m,stock_sell_pressure,294,-0.001810010559420352,0.0024124308161963598,-0.7502849604094206,0.027508689513869096,0.41836734693877553
