stratifier,source_column,model,target,stratum,rows,months,rank_ic_mean,rank_ic_t_hac6,spread_mean,spread_t_hac6,annualized_spread_approx,hit_rate_mean,hit_rate_t_hac6,avg_top_names,avg_bottom_names,annualized_spread_to_vol_proxy
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_1m,mid_network,189865,155,0.023861808377891796,3.706112409268404,0.0061639227263969145,1.7668431528882198,0.07396707271676298,0.5269924934674398,47.088840045617886,123.04516129032258,122.04516129032258,0.470019942996418
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_3m,high_network,185684,153,0.026218547415614867,2.9582873016928075,0.007938924862380486,0.968966222351078,0.031755699449521946,0.5821831865813843,30.097404923522753,121.89542483660131,120.89542483660131,0.267173982820377
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_3m,low_network,184622,153,0.05541391906904603,6.497178321326719,0.0504028390055531,4.88184771942926,0.2016113560222124,0.4951779022340941,33.65309745131229,121.22222222222223,120.22222222222223,1.1132262066087026
network_weighted_degree,network_weighted_degree,lgbm_all,fwd_ret_3m,mid_network,185280,153,0.03705536349917777,3.6617424794958815,0.01180783854412097,1.4289131157663957,0.04723135417648388,0.5495022940355352,31.269441354259,121.640522875817,120.640522875817,0.31732243513403785
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_1m,high_network,189915,155,0.012169586381756105,1.89547321780404,0.0042020306654876214,2.2081766359196693,0.050424367985851454,0.552143239973122,42.22894120893264,123.07096774193549,122.07096774193549,0.4691414301650405
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_1m,low_network,189816,155,0.007340899808158811,0.8797680416594168,0.007080009013015609,2.061230036485404,0.08496010815618732,0.479528249068924,47.33175504224624,123.0,122.0,0.5339970377374654
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_1m,mid_network,189865,155,0.01414943043169462,3.005049935224087,0.003882381652001955,1.708273896764598,0.04658857982402346,0.5252157759421785,45.43259733975235,123.04516129032258,122.04516129032258,0.3807715708735346
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_3m,high_network,185684,153,0.016280737888597616,1.980884042657651,0.008970080100769313,1.882088949002749,0.03588032040307725,0.5815099943359516,28.301802774680937,121.89542483660131,120.89542483660131,0.3730793484248549
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_3m,low_network,184622,153,0.011507204714439641,0.7445983637181101,0.005557037432529516,0.44427930315873404,0.022228149730118062,0.46666342170887565,27.774558187585317,121.22222222222223,120.22222222222223,0.1097348055974953
network_weighted_degree,network_weighted_degree,lgbm_network_pressure,fwd_ret_3m,mid_network,185280,153,0.03303293659095758,4.438925523706678,0.01147198523351893,1.913208250604192,0.04588794093407572,0.5453077629712807,27.94029105154162,121.640522875817,120.640522875817,0.3694902901785008
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_1m,high_network,189915,155,0.017701732960764733,2.8409808488217214,0.002262288072950722,1.0389495854125657,0.027147456875408666,0.5507566502746815,43.42935462177884,123.07096774193549,122.07096774193549,0.24273616118955102
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_1m,low_network,189816,155,0.05797549798770615,10.42311461793582,0.032575488807434376,4.736807322914095,0.3909058656892125,0.4963638627975725,51.95198442730824,123.0,122.0,1.5145425505754782
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_1m,mid_network,189865,155,0.027209064086864455,4.82449366829724,0.002882252931719123,0.9545167887599255,0.03458703518062947,0.526387501729752,48.33802519623506,123.04516129032258,122.04516129032258,0.23373292234700768
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_3m,high_network,185684,153,0.020932787314744225,2.7574273209294984,0.007289282082729691,1.0469685766464376,0.029157128330918766,0.5710384659211933,30.61327171334049,121.89542483660131,120.89542483660131,0.2297926199017412
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_3m,low_network,184622,153,0.07865929645113426,8.681049900153774,0.056778964710791024,3.8031955263754527,0.2271158588431641,0.5021741558705239,37.537612171065334,121.22222222222223,120.22222222222223,0.9727497895852772
network_weighted_degree,network_weighted_degree,lgbm_no_network,fwd_ret_3m,mid_network,185280,153,0.030836344113880754,4.1431565488628355,0.008739291787309606,1.1565890631201168,0.034957167149238424,0.5370945321609124,33.09315079477302,121.640522875817,120.640522875817,0.2219857493501782
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_1m,high_network,189915,155,0.024286258457804057,2.924543833580347,0.001150477470693073,0.31025496090221727,0.013805729648316877,0.5466576303439044,48.020351699606294,123.07096774193549,122.07096774193549,0.09519223856518552
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_1m,low_network,189816,155,0.0799355460691136,11.19070418067393,0.038383862112396305,6.47389693062109,0.46060634534875566,0.50002223634563,62.06403994721624,123.0,122.0,1.7252418152425575
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_1m,mid_network,189865,155,0.05115425487385192,6.501402504878411,0.007446744190709852,1.8198754089645235,0.08936093028851823,0.5278191215463873,47.74132994703622,123.04516129032258,122.04516129032258,0.49259253192165486
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_3m,high_network,185684,153,0.034060369801242676,2.776889722930936,0.001166125674780202,0.1162112944717493,0.004664502699120808,0.5729305588554152,31.482437771826476,121.89542483660131,120.89542483660131,0.031255156919539645
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_3m,low_network,184622,153,0.09720713783481441,10.012044461762557,0.08245781618919121,5.187788268409024,0.32983126475676483,0.4920649037076761,27.80949376800303,121.22222222222223,120.22222222222223,1.1935827176821883
network_weighted_degree,network_weighted_degree,ridge_all,fwd_ret_3m,mid_network,185280,153,0.06897615440331421,5.287711364041405,0.020070511392365334,1.7017840893173348,0.08028204556946134,0.5472589166001689,28.565654987486738,121.640522875817,120.640522875817,0.419695879048866
sell_pressure,stock_sell_pressure,lgbm_all,fwd_ret_1m,high_sell_pressure,189915,155,0.04205521325321612,6.540740647856614,0.013148133795680582,3.257657619298106,0.15777760554816697,0.5142971449123172,41.27603577860718,123.07096774193549,122.07096774193549,0.7867994838311231
sell_pressure,stock_sell_pressure,lgbm_all,fwd_ret_1m,low_sell_pressure,189816,155,0.02821865251191713,4.1376932410692895,0.01295038156282132,3.287531317995318,0.15540457875385583,0.5195625537291546,52.051799157232736,123.0,122.0,1.0776862533896503
